title,release_year,rating,num_seasons,is_mature,genre_count,binge_score
The Jungle Book,2010,TV-Y7,1,0,1,0.8
The Kindness Diaries,2019,TV-PG,1,0,1,0.8
The L Word,2009,TV-MA,6,1,2,3.8000000000000003
The Lady in Dignity,2017,TV-MA,1,1,3,1.5999999999999999
The Liar,2013,TV-14,1,0,3,1.4
The Lizzie Borden Chronicles,2015,TV-14,1,0,3,1.4
The Making of Frozen Planet,2012,TV-PG,1,0,3,1.4
The Messengers,2015,TV-14,1,0,3,1.4
The Mind of a Chef,2016,TV-PG,5,0,1,2.8
The Minimighty Kids,2012,TV-G,2,0,2,1.6
The Ministry of Time,2017,TV-MA,3,1,3,2.6
The Mortified Guide,2018,TV-MA,1,1,1,1.0
The Most Beautiful Hands of Delhi,2017,TV-MA,1,1,3,1.5999999999999999
The Murder Detectives,2015,TV-MA,1,1,3,1.5999999999999999
The Netflix Afterparty,2021,TV-MA,1,1,2,1.3
The Nineties,2017,TV-14,1,0,1,0.8
The Office (U.S.),2012,TV-14,9,0,1,4.8
The Pyramid Code,2009,TV-PG,1,0,2,1.1
The Rap Game,2016,TV-14,1,0,1,0.8
The Real Football Factories,2006,TV-MA,1,1,3,1.5999999999999999
The Returned,2015,TV-MA,1,1,3,1.5999999999999999
The Road to Calvary,2017,TV-14,1,0,2,1.1
The Seventies,2015,TV-PG,1,0,1,0.8
The Sniffer,2017,TV-MA,3,1,3,2.6
The Story of God with Morgan Freeman,2017,TV-14,2,0,1,1.3
The Story of Us with Morgan Freeman,2017,TV-14,1,0,1,0.8
The Super Mario Bros. Super Show!,1989,TV-Y7,1,0,1,0.8
The Traffickers,2016,TV-MA,1,1,2,1.3
The Tudors,2010,TV-MA,4,1,1,2.5
The Twilight Zone (Original Series),1963,TV-14,4,0,2,2.6
The Underwear,2017,TV-MA,1,1,3,1.5999999999999999
The Universe,2009,TV-14,1,0,2,1.1
The Vietnam War: A Film by Ken Burns and Lynn Novick,2017,TV-MA,1,1,1,1.0
The War: A Film by Ken Burns and Lynn Novick,2007,TV-14,1,0,1,0.8
The West Wing,2005,TV-14,7,0,1,3.8
The Womanizer,2010,TV-MA,1,1,3,1.5999999999999999
The Year of Happiness and Love,2009,TV-PG,1,0,3,1.4
ThirTEEN Terrors,2014,TV-14,1,0,3,1.4
This Is My Love,2015,TV-14,1,0,3,1.4
Tientsin Mystic,2017,TV-14,1,0,3,1.4
Timeless Season,2009,TV-14,1,0,2,1.1
Timeline,2014,TV-14,1,0,3,1.4
Tip the Mouse,2014,TV-Y,1,0,1,0.8
