title,release_year,rating,num_seasons,is_mature,genre_count,binge_score
Cagaster of an Insect Cage,2020,TV-MA,1,1,2,1.3
Arrow,2019,TV-14,8,0,2,4.6
The Pharmacist,2020,TV-MA,1,1,2,1.3
Team Kaylie,2020,TV-PG,3,0,2,2.1
Is It Wrong to Try to Pick Up Girls in a Dungeon?,2015,TV-MA,1,1,2,1.3
Itaewon Class,2020,TV-MA,1,1,3,1.5999999999999999
Miraculous: Tales of Ladybug & Cat Noir,2019,TV-Y7,5,0,2,3.1
No Game No Life,2014,TV-MA,1,1,2,1.3
Pop Team Epic,2018,TV-14,1,0,2,1.1
Shopkins,2014,TV-Y,1,0,1,0.8
Diablero,2020,TV-MA,2,1,3,2.1
Luna Nera,2020,TV-MA,1,1,3,1.5999999999999999
Unauthorized Living,2020,TV-MA,2,1,3,2.1
Ainori Love Wagon: African Journey,2019,TV-14,1,0,3,1.4
THE STRANGER,2020,TV-MA,1,1,3,1.5999999999999999
What the Love! with Karan Johar,2020,TV-14,1,0,3,1.4
Find Yourself,2020,TV-14,1,0,3,1.4
Night on Earth,2020,TV-PG,1,0,2,1.1
Omniscient,2020,TV-MA,1,1,3,1.5999999999999999
Rise of Empires: Ottoman,2020,TV-MA,1,1,1,1.0
Sons of the Caliphate,2017,TV-14,2,0,2,1.6
The goop lab with Gwyneth Paltrow,2020,TV-MA,1,1,1,1.0
The Ranch,2020,TV-MA,8,1,2,4.8
October Faction,2020,TV-MA,1,1,3,1.5999999999999999
​SAINT SEIYA: Knights of the Zodiac,2020,TV-14,2,0,2,1.6
The Ghost Bride,2020,TV-14,1,0,3,1.4
Pandemic: How to Prevent an Outbreak,2020,TV-14,1,0,2,1.1
Playing with Fire,2019,TV-MA,1,1,3,1.5999999999999999
DreamWorks How to Train Your Dragon Legends,2011,TV-PG,1,0,3,1.4
Ares,2020,TV-MA,1,1,3,1.5999999999999999
Hip-Hop Evolution,2020,TV-MA,4,1,2,2.8000000000000003
Nailed It! Germany,2020,TV-14,1,0,2,1.1
Tiny House Nation,2019,TV-PG,2,0,1,1.3
Handsome Siblings,2020,TV-14,1,0,3,1.4
Soul Eater,2008,TV-14,1,0,2,1.1
Killer Inside: The Mind of Aaron Hernandez,2020,TV-MA,1,1,2,1.3
The Ollie & Moon Show,2018,TV-Y,1,0,1,0.8
The Healing Powers of Dude,2020,TV-G,1,0,3,1.4
AJ and the Queen,2020,TV-14,1,0,2,1.1
Giri / Haji,2019,TV-MA,1,1,3,1.5999999999999999
Harvey Street Kids,2020,TV-Y7,4,0,2,2.6
Jamtara - Sabka Number Ayega,2020,TV-MA,1,1,3,1.5999999999999999
Medical Police,2020,TV-MA,1,1,3,1.5999999999999999
The InBESTigators,2020,TV-Y,2,0,2,1.6
Until Dawn,2020,TV-MA,1,1,3,1.5999999999999999
Cheer,2020,TV-MA,1,1,3,1.5999999999999999
Dracula,2020,TV-14,1,0,3,1.4
Anne with an E,2019,TV-PG,3,0,3,2.4
"Sex, Explained",2020,TV-MA,1,1,2,1.3
Thieves of the Wood,2019,TV-MA,1,1,3,1.5999999999999999
Because This Is My First Life,2017,TV-14,1,0,3,1.4
Border Security: America's Front Line,2018,TV-14,1,0,3,1.4
Cells at Work!,2018,TV-PG,1,0,2,1.1
Chhota Bheem Kung Fu Dhamaka Series,2019,TV-Y7,1,0,1,0.8
Live Up To Your Name,2017,TV-MA,1,1,3,1.5999999999999999
Messiah,2020,TV-MA,1,1,2,1.3
Mia and Me,2017,TV-Y7,2,0,1,1.3
"Nisman: The Prosecutor, the President, and the Spy",2020,TV-MA,1,1,3,1.5999999999999999
Reply 1988,2015,TV-14,1,0,3,1.4
Save Me,2017,TV-MA,1,1,3,1.5999999999999999
Spinning Out,2020,TV-MA,1,1,1,1.0
The Bride of Habaek,2017,TV-14,1,0,3,1.4
ARASHI's Diary -Voyage-,2019,TV-PG,1,0,2,1.1
Occupied,2019,TV-MA,3,1,3,2.6
Pucca: Love Recipe,2018,TV-Y7,1,0,2,1.1
Rainbow Ruby,2016,TV-Y,1,0,1,0.8
Robot Trains,2018,TV-Y7,2,0,2,1.6
The Degenerates,2019,TV-MA,2,1,2,1.8
Yanxi Palace: Princess Adventures,2019,TV-14,1,0,2,1.1
The Disastrous Life of Saiki K.: Reawakened,2019,TV-14,1,0,2,1.1
Kevin Hart: Don’t F**k This Up,2019,TV-MA,1,1,1,1.0
The Bonfire of Destiny,2019,TV-MA,1,1,2,1.3
You,2019,TV-MA,2,1,3,2.1
CAROLE & TUESDAY,2019,TV-MA,2,1,3,2.1
Lost in Space,2019,TV-PG,2,0,3,1.9
Private Practice,2012,TV-14,6,0,2,3.6
Agent,2019,TV-MA,1,1,2,1.3
The Witcher,2019,TV-MA,1,1,3,1.5999999999999999
Twice Upon A Time,2019,TV-MA,1,1,3,1.5999999999999999
Ultraviolet,2019,TV-MA,2,1,3,2.1
Don't F**k with Cats: Hunting an Internet Killer,2019,TV-MA,1,1,2,1.3
Soundtrack,2019,TV-MA,1,1,2,1.3
Cinderella and the Four Knights,2016,TV-PG,1,0,3,1.4
Cocomong,2015,TV-Y,2,0,2,1.6
Crash Landing on You,2019,TV-14,1,0,3,1.4
"Crazy, Lovely, Cool",2018,TV-MA,1,1,2,1.3
Girls und Panzer,2012,TV-PG,1,0,2,1.1
Scooby-Doo!: Mystery Incorporated,2012,TV-Y7,2,0,2,1.6
What's New Scooby-Doo?,2005,TV-Y7,3,0,2,2.1
Astronomy Club: The Sketch Show,2019,TV-MA,1,1,1,1.0
Fuller House,2020,TV-PG,5,0,1,2.8
Teasing Master Takagi-san,2019,TV-PG,1,0,3,1.4
The Chosen One,2019,TV-MA,2,1,3,2.1
The Confession Killer,2019,TV-14,1,0,2,1.1
Three Days of Christmas,2019,TV-MA,1,1,3,1.5999999999999999
Triad Princess,2019,TV-MA,1,1,3,1.5999999999999999
V Wars,2019,TV-MA,1,1,3,1.5999999999999999
The Last O.G.,2019,TV-MA,2,1,1,1.5
The Prince of Tennis ~ Match! Tennis Juniors ~,2019,TV-PG,1,0,3,1.4
The Road to Love,2019,TV-14,1,0,3,1.4
Nightflyers,2018,TV-MA,1,1,3,1.5999999999999999
Eastsiders,2018,TV-MA,4,1,2,2.8000000000000003
Space Jungle,2016,TV-Y,2,0,3,1.9
Chocolate,2019,TV-14,1,0,3,1.4
Chip and Potato,2019,TV-Y,2,0,1,1.3
La Reina del Sur,2019,TV-MA,2,1,3,2.1
The Charming Stepmom,2019,TV-14,1,0,3,1.4
Levius,2019,TV-14,1,0,2,1.1
Lugar de Mulher,2019,TV-MA,1,1,3,1.5999999999999999
Merry Happy Whatever,2019,TV-PG,1,0,1,0.8
Mythomaniac,2019,TV-MA,1,1,3,1.5999999999999999
The Crime,2015,TV-MA,2,1,3,2.1
Zona Rosa,2019,TV-MA,1,1,3,1.5999999999999999
Once Upon A Time In Lingjian Mountain,2019,TV-14,1,0,3,1.4
Dolly Parton's Heartstrings,2019,TV-14,1,0,1,0.8
Nailed It! Holiday!,2019,TV-PG,2,0,1,1.3
Narcoworld: Dope Stories,2019,TV-MA,1,1,2,1.3
Nobody's Looking,2019,TV-MA,1,1,3,1.5999999999999999
Singapore Social,2019,TV-MA,1,1,2,1.3
The Dragon Prince,2019,TV-Y7,3,0,3,2.4
Trolls: The Beat Goes On!,2019,TV-Y7,8,0,2,4.6
Bangkok Buddies,2019,TV-MA,1,1,3,1.5999999999999999
Holiday Secrets,2019,TV-MA,1,1,2,1.3
Who Killed Little Gregory?,2019,TV-MA,1,1,3,1.5999999999999999
Miss Culinary,2019,TV-14,1,0,3,1.4
Candy Online,2019,TV-MA,1,1,3,1.5999999999999999
At the Dolphin Bay,2003,TV-14,1,0,2,1.1
I'm with the Band: Nasty Cherry,2019,TV-MA,1,1,1,1.0
Inheritors,2013,TV-14,1,0,3,1.4
K-On!,2010,TV-PG,2,0,2,1.6
La Robe De Mariee Des Cieux,2004,TV-MA,1,1,2,1.3
Llama Llama,2019,TV-Y,2,0,1,1.3
My MVP Valentine,2002,TV-PG,1,0,3,1.4
My Sassy Girl,2017,TV-14,1,0,3,1.4
The Club,2019,TV-MA,1,1,3,1.5999999999999999
The Stranded,2019,TV-MA,1,1,3,1.5999999999999999
The Toys That Made Us,2019,TV-14,3,0,2,2.1
The Yard,2019,TV-MA,2,1,3,2.1
Westside Story,2003,TV-14,1,0,3,1.4
My Dear Warrior,2019,TV-14,1,0,3,1.4
Maradona in Mexico,2020,TV-MA,1,1,2,1.3
Chief of Staff,2019,TV-14,2,0,3,1.9
Put Your Head on My Shoulder,2019,TV-14,1,0,3,1.4
Little Things,2019,TV-MA,3,1,3,2.6
Greatest Events of WWII in Colour,2019,TV-14,1,0,3,1.4
Green Eggs and Ham,2019,TV-Y7,1,0,3,1.4
Wild District,2019,TV-MA,2,1,3,2.1
SCAMS,2019,TV-14,1,0,3,1.4
Sam & Cat,2014,TV-PG,2,0,2,1.6
The End of the F***ing World,2019,TV-MA,2,1,3,2.1
Meet the Adebanjos,2016,TV-PG,3,0,3,2.4
The Devil Next Door,2019,TV-MA,1,1,2,1.3
Bella and the Bulldogs,2015,TV-G,1,0,2,1.1
Victorious,2013,TV-G,3,0,2,2.1
A Year In Space,2015,TV-PG,1,0,3,1.4
Ad Vitam,2018,TV-MA,1,1,3,1.5999999999999999
Billy on the Street,2016,TV-14,4,0,3,2.9
CLANNAD,2008,TV-PG,2,0,2,1.6
Haikyu!!,2015,TV-14,2,0,3,1.9
"Love, Chunibyo & Other Delusions!",2014,TV-PG,2,0,3,1.9
Maid-Sama!,2010,TV-14,1,0,2,1.1
Mobile Suit Gundam: Iron-Blooded Orphans,2016,TV-14,2,0,2,1.6
Queer Eye: We're in Japan!,2019,TV-14,1,0,2,1.1
The Boulet Brothers Dragula,2019,TV-MA,2,1,1,1.5
The Deep,2019,TV-Y7,3,0,1,1.8
Vientos de agua,2006,TV-MA,1,1,3,1.5999999999999999
We Are the Wave,2019,TV-MA,1,1,3,1.5999999999999999
KENGAN ASHURA,2019,TV-MA,2,1,2,1.8
Nowhere Man,2019,TV-MA,1,1,3,1.5999999999999999
Sleepless Society: Bedtime Wishes,2019,TV-MA,1,1,3,1.5999999999999999
"Bring It On, Ghost",2016,TV-14,1,0,3,1.4
Tomorrow with You,2017,TV-14,1,0,3,1.4
Tunnel,2019,TV-14,1,0,3,1.4
Shine On with Reese,2018,TV-MA,1,1,2,1.3
"Wait, My Youth",2019,TV-PG,1,0,3,1.4
A Little Thing Called First Love,2019,TV-G,1,0,3,1.4
BoJack Horseman,2020,TV-MA,6,1,1,3.5
Brotherhood,2019,TV-MA,1,1,3,1.5999999999999999
Drug Squad: Costa del Sol,2019,TV-MA,1,1,3,1.5999999999999999
Monzón: A Knockout Blow,2018,TV-MA,1,1,3,1.5999999999999999
Nailed It! France,2019,TV-14,1,0,2,1.1
Nailed It! Spain,2019,TV-PG,1,0,3,1.4
The Untamed,2019,TV-14,1,0,3,1.4
Daybreak,2019,TV-MA,1,1,3,1.5999999999999999
"Breakfast, Lunch & Dinner",2019,TV-MA,1,1,1,1.0
"ChuChu TV Kids Songs, Learning Videos & Bedtime Stories",2019,TV-Y,1,0,1,0.8
Interior Design Masters,2019,TV-PG,1,0,3,1.4
Little Baby Bum: Nursery Rhyme Friends,2019,TV-Y,2,0,2,1.6
Mighty Little Bheem: Diwali,2019,TV-Y,1,0,2,1.1
MONKART,2017,TV-Y7,1,0,2,1.1
Spirit Riding Free: Pony Tales,2019,TV-Y7,2,0,1,1.3
Toon,2017,TV-MA,2,1,2,1.8
Chosen,2019,TV-14,2,0,3,1.9
THE UNLISTED,2019,TV-PG,1,0,2,1.1
Another Miss Oh,2016,TV-MA,1,1,3,1.5999999999999999
Second 20s,2015,TV-14,1,0,3,1.4
Black Money Love,2014,TV-MA,1,1,3,1.5999999999999999
The Lies Within,2019,TV-14,1,0,3,1.4
Insatiable,2019,TV-MA,2,1,3,2.1
The Hook Up Plan,2020,TV-MA,2,1,3,2.1
Beyblade Burst Turbo,2018,TV-Y7,1,0,2,1.1
Ultramarine Magmell,2019,TV-14,1,0,2,1.1
Rhythm + Flow,2019,TV-MA,1,1,1,1.0
Legend Quest: Masters of Myth,2019,TV-Y7,1,0,2,1.1
My Country: The New Age,2019,TV-14,1,0,3,1.4
Creeped Out,2019,TV-PG,2,0,3,1.9
Peaky Blinders,2019,TV-MA,5,1,3,3.6
Raising Dion,2019,TV-PG,1,0,3,1.4
Rotten,2019,TV-MA,2,1,2,1.8
Super Monsters,2019,TV-Y,3,0,1,1.8
Seis Manos,2019,TV-MA,1,1,2,1.3
Living Undocumented,2019,TV-MA,1,1,1,1.0
Cheese in the Trap,2016,TV-14,1,0,3,1.4
Chicago Typewriter,2017,TV-14,1,0,3,1.4
College Romance,2018,TV-MA,1,1,3,1.5999999999999999
Engineering Girls,2018,TV-MA,1,1,2,1.3
Girls Hostel,2018,TV-MA,1,1,3,1.5999999999999999
Inmates,2017,TV-MA,1,1,2,1.3
Miniforce X,2018,TV-Y7,1,0,2,1.1
The K2,2016,TV-14,1,0,3,1.4
The Liar and His Lover,2017,TV-PG,1,0,3,1.4
Gotham,2019,TV-MA,5,1,3,3.6
Bard of Blood,2019,TV-MA,1,1,3,1.5999999999999999
El Marginal,2019,TV-MA,3,1,3,2.6
The Inmate,2018,TV-MA,1,1,3,1.5999999999999999
Abstract: The Art of Design,2019,TV-14,2,0,1,1.3
Glitch,2019,TV-MA,3,1,3,2.6
Vagabond,2019,TV-MA,1,1,3,1.5999999999999999
Criminal: France,2019,TV-MA,1,1,3,1.5999999999999999
Criminal: Germany,2019,TV-MA,1,1,3,1.5999999999999999
Criminal: Spain,2019,TV-MA,1,1,3,1.5999999999999999
Fastest Car,2019,TV-MA,2,1,1,1.5
Inside Bill's Brain: Decoding Bill Gates,2019,TV-14,1,0,2,1.1
The Hockey Girls,2019,TV-MA,1,1,3,1.5999999999999999
When the Camellia Blooms,2019,TV-14,1,0,3,1.4
Surviving R. Kelly,2019,TV-MA,1,1,2,1.3
Kabaneri of the Iron Fortress: The Battle of Unato,2019,TV-MA,1,1,3,1.5999999999999999
Marianne,2019,TV-MA,1,1,3,1.5999999999999999
Top Boy,2019,TV-MA,1,1,3,1.5999999999999999
Unbelievable,2019,TV-MA,1,1,2,1.3
The I-Land,2019,TV-MA,1,1,3,1.5999999999999999
"The Mind, Explained",2019,TV-14,1,0,2,1.1
The Spy,2019,TV-MA,1,1,3,1.5999999999999999
Loo Loo Kids: Johny & Friends Musical Adventures,2016,TV-Y,1,0,1,0.8
Moving Art,2018,TV-G,3,0,2,2.1
Naruto,2006,TV-14,9,0,2,5.1
Serial Killer with Piers Morgan,2018,TV-14,1,0,3,1.4
Luo Bao Bei,2018,TV-Y,1,0,2,1.1
Styling Hollywood,2019,TV-14,1,0,1,0.8
The Dark Crystal: Age of Resistance,2019,TV-PG,1,0,3,1.4
The Good Bandit,2018,TV-MA,1,1,3,1.5999999999999999
True and the Rainbow Kingdom,2019,TV-Y,3,0,1,1.8
Million Pound Menu,2019,TV-MA,2,1,3,2.1
13 Reasons Why: Beyond the Reasons,2019,TV-MA,3,1,2,2.3000000000000003
HERO MASK,2019,TV-14,2,0,3,1.9
Hyperdrive,2019,TV-PG,1,0,1,0.8
45 rpm,2019,TV-MA,1,1,3,1.5999999999999999
Apache: The Life of Carlos Tevez,2019,TV-MA,1,1,3,1.5999999999999999
Better Than Us,2019,TV-MA,1,1,3,1.5999999999999999
Diagnosis,2019,TV-14,1,0,2,1.1
Green Frontier,2019,TV-MA,1,1,3,1.5999999999999999
MINDHUNTER,2019,TV-MA,2,1,3,2.1
The King's Avatar,2019,TV-MA,1,1,3,1.5999999999999999
Victim Number 8,2018,TV-MA,1,1,3,1.5999999999999999
Cannon Busters,2019,TV-MA,1,1,2,1.3
Sacred Games,2019,TV-MA,2,1,3,2.1
Til Death Do Us Part,2019,TV-MA,1,1,3,1.5999999999999999
Happy Jail,2019,TV-MA,1,1,2,1.3
Knightfall,2019,TV-MA,2,1,1,1.5
DC Super Hero Girls,2019,TV-Y7,1,0,1,0.8
GLOW,2019,TV-MA,3,1,2,2.3000000000000003
IZombie,2019,TV-MA,5,1,3,3.6
Sintonia,2019,TV-MA,1,1,3,1.5999999999999999
The Family,2019,TV-14,1,0,1,0.8
Bad Guys,2014,TV-MA,1,1,3,1.5999999999999999
Dollar,2019,TV-MA,1,1,2,1.3
Jane The Virgin,2019,TV-14,5,0,3,3.4
Let's Eat 2,2015,TV-MA,1,1,3,1.5999999999999999
Let’s Eat,2013,TV-PG,1,0,3,1.4
Misaeng,2014,TV-MA,1,1,3,1.5999999999999999
Oh My Ghost,2015,TV-MA,1,1,3,1.5999999999999999
Reply 1994,2014,TV-MA,1,1,3,1.5999999999999999
Reply 1997,2012,TV-MA,1,1,3,1.5999999999999999
Wu Assassins,2019,TV-MA,1,1,2,1.3
No Good Nick,2019,TV-PG,2,0,3,1.9
Basketball or Nothing,2019,TV-PG,1,0,2,1.1
Sleepless Society: Nyctophobia,2019,TV-MA,1,1,3,1.5999999999999999
The Letdown,2019,TV-MA,2,1,3,2.1
Twelve Forever,2019,TV-PG,1,0,1,0.8
My First First Love,2019,TV-14,2,0,3,1.9
Another Life,2019,TV-MA,1,1,3,1.5999999999999999
Beat Bugs,2018,TV-Y,3,0,1,1.8
Sexy Central,2019,TV-MA,1,1,3,1.5999999999999999
Comedians in Cars Getting Coffee,2019,TV-14,6,0,2,3.6
The Epic Tales of Captain Underpants,2019,TV-Y7,3,0,2,2.1
Typewriter,2019,TV-MA,1,1,3,1.5999999999999999
Rookie Historian Goo Hae-Ryung,2019,TV-14,1,0,3,1.4
Pinky Malinky,2019,TV-Y7,3,0,2,2.1
Unrequited Love,2019,TV-14,1,0,3,1.4
Angel Beats!,2010,TV-PG,1,0,2,1.1
Anohana: The Flower We Saw That Day,2011,TV-14,1,0,3,1.4
God Eater,2015,TV-14,1,0,2,1.1
GRANBLUE FANTASY the Animation,2017,TV-PG,1,0,2,1.1
3Below: Tales of Arcadia,2019,TV-Y7,2,0,3,1.9
Bonus Family,2019,TV-MA,3,1,2,2.3000000000000003
Extreme Engagement,2019,TV-MA,1,1,2,1.3
One Spring Night,2019,TV-14,1,0,3,1.4
PILI Fantasy: War of Dragons,2019,TV-14,1,0,3,1.4
True Tunes,2019,TV-Y,1,0,1,0.8
Free Rein,2019,TV-G,3,0,3,2.4
The Legend of White Snake,2019,TV-14,1,0,3,1.4
Kakegurui,2019,TV-MA,2,1,3,2.1
Stranger Things,2019,TV-14,3,0,3,2.4
The Last Czars,2019,TV-MA,1,1,2,1.3
Yummy Mummies,2019,TV-MA,2,1,2,1.8
Bangkok Love Stories: Objects of Affection,2019,TV-14,1,0,3,1.4
Bangkok Love Stories: Plead,2019,TV-14,1,0,3,1.4
Designated Survivor: 60 Days,2019,TV-14,1,0,3,1.4
DreamWorks Kung Fu Panda Awesome Secrets,2008,TV-PG,1,0,3,1.4
Hatchimals | Adventures in Hatchtopia,2018,TV-Y,2,0,1,1.3
Molang,2015,TV-Y,1,0,1,0.8
Rabbids Invasion,2018,TV-Y7,1,0,2,1.1
Record of Grancrest War,2018,TV-MA,1,1,2,1.3
Scare Tactics,2011,TV-MA,2,1,3,2.1
Dope,2019,TV-MA,3,1,2,2.3000000000000003
Exhibit A,2019,TV-MA,1,1,3,1.5999999999999999
Instant Hotel,2019,TV-MA,2,1,2,1.8
Motown Magic,2019,TV-Y,2,0,2,1.6
Paquita Salas,2018,TV-MA,3,1,3,2.6
Answer for Heaven,2019,TV-MA,1,1,3,1.5999999999999999
Forest of Piano,2019,TV-14,2,0,2,1.6
Bolívar,2019,TV-MA,1,1,3,1.5999999999999999
Girls Incarcerated,2019,TV-MA,2,1,2,1.8
Go! Live Your Way,2019,TV-PG,2,0,3,1.9
Magi: The Labyrinth of Magic,2013,TV-MA,2,1,2,1.8
Neon Genesis Evangelion,1995,TV-MA,1,1,2,1.3
Shooter,2018,TV-14,3,0,3,2.4
The Casketeers,2019,TV-14,2,0,2,1.6
The Confession Tapes,2019,TV-MA,2,1,2,1.8
Fate/Zero,2012,TV-MA,2,1,2,1.8
Kill la Kill,2014,TV-MA,1,1,2,1.3
Puella Magi Madoka Magica,2011,TV-14,1,0,2,1.1
Somewhere Only We Know,2019,TV-MA,1,1,3,1.5999999999999999
The Alcàsser Murders,2019,TV-MA,1,1,3,1.5999999999999999
Unit 42,2017,TV-MA,1,1,3,1.5999999999999999
Awake: The Million Dollar Game,2019,TV-PG,1,0,1,0.8
Black Spot,2019,TV-MA,2,1,3,2.1
El desconocido,2019,TV-MA,2,1,3,2.1
Girlfriends' Guide to Divorce,2019,TV-MA,5,1,2,3.3000000000000003
Leila,2019,TV-MA,1,1,3,1.5999999999999999
Marlon,2018,TV-14,2,0,1,1.3
Marvel's Jessica Jones,2019,TV-MA,3,1,3,2.6
Yankee,2019,TV-MA,1,1,3,1.5999999999999999
Jinn,2019,TV-MA,1,1,3,1.5999999999999999
Upin & Ipin,2011,TV-Y,1,0,1,0.8
Designated Survivor,2019,TV-MA,3,1,3,2.6
Super Monsters Monster Pets,2019,TV-Y,1,0,1,0.8
Tales of the City,2019,TV-MA,1,1,1,1.0
Black Mirror,2019,TV-MA,5,1,3,3.6
Documentary Now!,2019,TV-14,3,0,1,1.8
Malibu Rescue: The Series,2019,TV-G,1,0,3,1.4
Arthdal Chronicles,2019,TV-MA,1,1,3,1.5999999999999999
A Thousand Goodnights,2019,TV-14,1,0,2,1.1
March Comes in Like a Lion,2017,TV-14,2,0,3,1.9
Bad Blood,2019,TV-MA,2,1,2,1.8
Killer Ratings,2019,TV-MA,1,1,3,1.5999999999999999
When They See Us,2019,TV-MA,1,1,2,1.3
Historical Roasts,2019,TV-MA,1,1,2,1.3
Hyper HardBoiled Gourmet Report,2017,TV-MA,1,1,2,1.3
She's Gotta Have It,2018,TV-MA,2,1,3,2.1
WHAT / IF,2019,TV-MA,1,1,2,1.3
Prince of Peoria,2019,TV-G,2,0,2,1.6
Rosario Tijeras,2018,TV-MA,2,1,3,2.1
1994,2019,TV-MA,1,1,3,1.5999999999999999
It's Bruno!,2019,TV-MA,1,1,1,1.0
White Gold,2019,TV-MA,2,1,3,2.1
Dennis and Gnasher Unleashed,2017,TV-Y,1,0,3,1.4
"Heidi, bienvenida a casa",2017,TV-Y,1,0,2,1.1
I Hear You,2019,TV-14,1,0,3,1.4
Revisions,2018,TV-14,1,0,2,1.1
The Defected,2019,TV-14,1,0,3,1.4
Easy,2019,TV-MA,3,1,2,2.3000000000000003
Jailbirds,2019,TV-MA,1,1,2,1.3
The Mechanism,2019,TV-MA,2,1,3,2.1
The Princess Weiyoung,2016,TV-14,1,0,3,1.4
The Society,2019,TV-MA,1,1,2,1.3
Away From Home,2015,TV-PG,1,0,2,1.1
Bibik-Bibikku,2016,TV-PG,1,0,2,1.1
Cinta 100KG,2016,TV-14,1,0,3,1.4
Cinta Iris,2015,TV-PG,1,0,3,1.4
Cinta Si Wedding Planner,2015,TV-14,1,0,3,1.4
Cinta Teruna Kimchi,2016,TV-PG,1,0,2,1.1
Secret of Success,2015,TV-14,1,0,3,1.4
The Missing Menu,2016,TV-PG,1,0,2,1.1
Unchained Fate,2016,TV-14,1,0,3,1.4
Abyss,2019,TV-14,1,0,3,1.4
I Have a Script,2019,TV-14,1,0,3,1.4
In the Bosom of a Thorn,2019,TV-14,1,0,2,1.1
The Writer,2019,TV-14,1,0,3,1.4
What If?,2019,TV-14,1,0,2,1.1
Crime Diaries: Night Out,2019,TV-MA,1,1,3,1.5999999999999999
Cupcake & Dino - General Services,2019,TV-Y7,2,0,2,1.6
Flinch,2019,TV-PG,1,0,1,0.8
Tuca & Bertie,2019,TV-MA,1,1,1,1.0
Code Geass: Lelouch of the Rebellion,2008,TV-MA,2,1,2,1.8
Angel 'N' Devil,2014,TV-14,1,0,3,1.4
Hong Kong West Side Stories,2018,TV-MA,1,1,3,1.5999999999999999
Ingress: The Animation,2018,TV-MA,1,1,3,1.5999999999999999
K.O. One Re-act,2013,TV-14,1,0,3,1.4
K.O.3an Guo,2009,TV-14,1,0,3,1.4
KO One Return,2012,TV-MA,1,1,3,1.5999999999999999
The Outsiders,2004,TV-MA,1,1,3,1.5999999999999999
Ash vs. Evil Dead,2018,TV-MA,3,1,3,2.6
Señora Acero,2018,TV-MA,5,1,3,3.6
Chambers,2019,TV-MA,1,1,3,1.5999999999999999
Street Food,2019,TV-PG,1,0,1,0.8
The Hateful Eight: Extended Version,2015,R,1,1,1,1.0
KO One,2005,TV-MA,1,1,3,1.5999999999999999
Lunatics,2019,TV-MA,1,1,2,1.3
My Dear Boy,2017,TV-MA,1,1,2,1.3
Rilakkuma and Kaoru,2019,TV-PG,1,0,2,1.1
Samantha!,2019,TV-MA,2,1,2,1.8
Crazy Ex-Girlfriend,2019,TV-MA,4,1,2,2.8000000000000003
Huge in France,2019,TV-MA,1,1,1,1.0
New Girl,2018,TV-14,7,0,2,4.1
Persona,2019,TV-MA,1,1,3,1.5999999999999999
You vs. Wild,2019,TV-PG,1,0,3,1.4
Time: The Kalief Browder Story,2017,TV-MA,1,1,1,1.0
Derek,2015,TV-MA,3,1,3,2.6
Imposters,2017,TV-MA,2,1,3,2.1
Our Planet,2019,TV-PG,1,0,2,1.1
Quicksand,2019,TV-MA,1,1,3,1.5999999999999999
Rimba Racer,2017,TV-PG,1,0,1,0.8
Roman Empire: Reign of Blood,2019,TV-MA,3,1,1,2.0
Spirit: Riding Free,2019,TV-Y7,8,0,1,4.3
Tijuana,2019,TV-MA,1,1,3,1.5999999999999999
Possessed,2019,TV-MA,1,1,3,1.5999999999999999
Tango,2018,TV-14,1,0,3,1.4
Kicko & Super Speedo,2018,TV-Y7,1,0,2,1.1
"That Winter, the Wind Blows",2013,TV-MA,1,1,3,1.5999999999999999
Ultraman,2019,TV-14,1,0,2,1.1
Pablo,2017,TV-Y,1,0,2,1.1
Osmosis,2019,TV-MA,1,1,3,1.5999999999999999
Santa Clarita Diet,2019,TV-MA,3,1,3,2.6
The Terminal,2018,TV-14,1,0,2,1.1
Traitors,2019,TV-MA,1,1,3,1.5999999999999999
Versailles,2018,TV-MA,3,1,2,2.3000000000000003
Ainori Love Wagon: Asian Journey,2018,TV-MA,2,1,3,2.1
The Eagle of El-Se'eed,2018,TV-14,1,0,3,1.4
Charlie's Colorforms City,2019,TV-Y,1,0,1,0.8
Crime Diaries: The Candidate,2019,TV-MA,1,1,3,1.5999999999999999
Delhi Crime,2019,TV-MA,1,1,3,1.5999999999999999
The 10 Sins,2018,TV-14,1,0,2,1.1
The OA,2019,TV-MA,2,1,3,2.1
Bo on the Go!,2007,TV-Y,1,0,1,0.8
Stay Tuned!,2019,TV-14,1,0,3,1.4
February 9,2018,TV-14,1,0,2,1.1
My Husband Won't Fit,2019,TV-MA,1,1,3,1.5999999999999999
Green Door,2019,TV-MA,1,1,3,1.5999999999999999
If I Hadn't Met You,2018,TV-MA,1,1,3,1.5999999999999999
My Pride,2018,TV-14,1,0,2,1.1
Robozuna,2018,TV-Y7,2,0,2,1.6
The Disappearance of Madeleine McCann,2019,TV-14,1,0,2,1.1
Turn Up Charlie,2019,TV-MA,1,1,3,1.5999999999999999
More to Say,2018,TV-14,1,0,3,1.4
The Land of Hypocrisy,2018,TV-14,1,0,3,1.4
Eugenie Nights,2018,TV-14,1,0,3,1.4
This Evening,2017,TV-14,1,0,2,1.1
Into the Badlands,2018,TV-MA,3,1,1,2.0
Bangkok Love Stories: Hey You!,2018,TV-14,1,0,3,1.4
Disappearance,2018,TV-MA,1,1,3,1.5999999999999999
Immortals,2018,TV-MA,1,1,3,1.5999999999999999
